project-id,location-id,date,time-intervals,direction-id,car,microbus,bus,truck,special vehicle,motorcycle,bicycle,total-vehicles,location-name,longitude,latitude,image-url
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.7,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.8,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.1,27,1,0,0,0,3,0,31,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.2,274,2,6,1,0,17,0,300,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.3,20,0,0,0,0,6,0,26,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.4,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.5,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.6,30,0,0,0,0,1,0,31,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.7,239,4,5,0,0,8,0,256,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:00 - 18:15,3.8,65,2,0,1,0,3,0,71,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.1,24,0,0,0,0,2,0,26,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.2,322,6,8,0,0,21,1,358,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.3,21,0,0,0,0,5,0,26,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.4,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.5,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.6,36,2,0,0,0,2,0,40,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.7,232,1,5,1,0,6,0,245,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:15 - 18:30,3.8,85,0,0,0,0,5,0,90,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.1,38,0,0,0,0,2,0,40,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.2,305,2,8,1,0,22,0,338,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.3,23,0,0,0,0,4,0,27,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.4,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.5,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.6,48,0,0,0,0,4,0,52,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.7,261,2,5,2,0,7,0,277,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,18:30 - 18:45,3.8,75,1,0,0,0,6,0,82,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
