Project ID,Date,Time Interval,Direction ID,Car,Microbus,Bus,Truck,Special vehicular,Motorcycle,Bicycle,Total Vehicles,ID,Name,LONG,LAT,URL
Tamarashvili,2/27/24,09:00 - 10:00,6.2,1208,28,0,7,1,12,0,1256,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,6.3,467,8,10,2,3,4,2,496,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,6.1,701,9,7,2,0,34,5,758,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,6.2,1146,15,2,3,5,40,2,1213,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,6.3,706,9,10,0,1,27,0,753,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.1,1706,26,0,10,1,12,1,1756,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.2,708,18,1,2,1,3,0,733,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.3,30,2,0,0,0,0,0,32,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.4,186,3,0,0,0,3,0,192,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.5,333,4,9,2,2,2,0,352,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.6,1101,21,1,6,2,11,2,1144,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.7,241,11,0,1,0,3,0,256,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,7.8,164,5,0,1,0,1,0,171,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.1,1376,26,0,17,5,50,0,1474,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.2,778,10,1,2,0,24,0,815,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.3,1,0,0,0,0,0,0,1,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.4,104,1,0,0,0,26,0,131,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.5,528,6,9,0,3,4,0,550,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.6,1009,15,3,2,3,49,2,1083,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.7,315,3,0,1,0,14,0,333,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,7.8,213,5,0,0,0,15,0,233,Loc7,Location 7,44.7576794,41.7194183,https://drive.google.com/file/d/1cU9cPfoVrNlQ8yWrOfvZstNwGrbHufBq/view?usp=drive_link
